,prior_query,prior_dimensions,edit,edit_type,cdr,adr,cgr,agr,delta_dr,delta_gr,anchored_gain_in_sum_rank,delta_dr_assume,delta_gr_assume,anchored_gain_in_sum_rank_assume,cds,cgs,ads,ags
0,q,1.0,tick <> point,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,22.0,1.0
1,q,1.0,tick <> bar,mark,1.0,0.0,5.0,0.0,1.0,5.0,6.0,1.0,5.0,6.0,13.0,582.0,19.0,65.0
2,q,1.0,tick <> line,mark,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,583.0,39.0,583.0
3,q,1.0,tick <> area,mark,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,584.0,39.0,584.0
4,q,1.0,tick <> tick,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,0.0
5,q,,tick <> rect,,,,,,,,,,,,,,,
6,q,1.0,+ raw(q),add_field,1.0,0.0,,9.0,1.0,,,1.0,32.0,33.0,12.0,1375.0,18.0,460.0
7,q,1.0,+ bin(q),add_field,0.0,2.0,,5.0,-2.0,,,-2.0,36.0,34.0,15.0,1374.0,22.0,459.0
8,q,1.0,+ agg(q),add_field,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,583.0,26.0,583.0
9,q,1.0,+ raw(n),add_field,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,459.0,30.0,459.0
10,q,1.0,<- bin(q),bin,0.0,2.0,13.0,6.0,-2.0,7.0,5.0,-2.0,7.0,5.0,13.0,582.0,20.0,522.0
11,q,1.0,<- agg(q),agg,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,65.0,19.0,65.0
12,q x q,2.0,point <> point,mark,0.0,1.0,,0.0,-1.0,,,-1.0,41.0,40.0,12.0,888.0,24.0,0.0
13,q x q,2.0,point <> bar,mark,0.0,1.0,7.0,1.0,-1.0,6.0,5.0,-1.0,6.0,5.0,20.0,1075.0,32.0,187.0
14,q x q,2.0,point <> line,mark,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,44.0,3.0
15,q x q,2.0,point <> area,mark,0.0,1.0,20.0,0.0,-1.0,20.0,19.0,-1.0,20.0,19.0,32.0,892.0,44.0,4.0
16,q x q,2.0,point <> tick,mark,1.0,3.0,1.0,0.0,-2.0,1.0,-1.0,-2.0,1.0,-1.0,15.0,123.0,28.0,63.0
17,q x q,2.0,point <> rect,mark,1.0,8.0,7.0,4.0,-7.0,3.0,-4.0,-7.0,3.0,-4.0,33.0,698.0,47.0,578.0
18,q x q,2.0,+ raw(q),add_field,0.0,2.0,,0.0,-2.0,,,-2.0,41.0,39.0,20.0,1370.0,32.0,453.0
19,q x q,2.0,+ bin(q),add_field,0.0,,,0.0,,,,-41.0,41.0,0.0,31.0,1999.0,46.0,453.0
20,q x q,2.0,+ agg(q),add_field,1.0,6.0,,27.0,-5.0,,,-5.0,14.0,9.0,31.0,697.0,45.0,577.0
21,q x q,2.0,+ raw(n),add_field,0.0,2.0,,3.0,-2.0,,,-2.0,38.0,36.0,39.0,1999.0,52.0,457.0
22,q x q,2.0,<- bin(q),bin,0.0,4.0,,1.0,-4.0,,,-4.0,40.0,36.0,15.0,1011.0,29.0,63.0
23,q x q,2.0,<- agg(q),agg,0.0,1.0,15.0,7.0,-1.0,8.0,7.0,-1.0,8.0,7.0,20.0,187.0,33.0,127.0
24,q x bin(q),2.0,tick <> point,mark,1.0,4.0,17.0,0.0,-3.0,17.0,14.0,-3.0,17.0,14.0,24.0,575.0,40.0,1.0
25,q x bin(q),2.0,tick <> bar,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,65.0,35.0,65.0
26,q x bin(q),2.0,tick <> line,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,50.0,3.0
27,q x bin(q),2.0,tick <> area,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,67.0,55.0,67.0
28,q x bin(q),2.0,tick <> tick,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.0,0.0
29,q x bin(q),2.0,tick <> rect,mark,1.0,2.0,4.0,3.0,-1.0,1.0,0.0,-1.0,1.0,0.0,33.0,576.0,49.0,516.0
30,q x bin(q),2.0,+ raw(q),add_field,5.0,19.0,,0.0,-14.0,,,-14.0,41.0,27.0,31.0,1878.0,47.0,454.0
31,q x bin(q),2.0,+ bin(q),add_field,2.0,,,3.0,,,,-39.0,38.0,-1.0,31.0,1878.0,52.0,457.0
32,q x bin(q),2.0,+ agg(q),add_field,0.0,4.0,15.0,6.0,-4.0,9.0,5.0,-4.0,9.0,5.0,31.0,576.0,47.0,516.0
33,q x bin(q),2.0,+ raw(n),add_field,0.0,8.0,,3.0,-8.0,,,-8.0,38.0,30.0,39.0,1434.0,58.0,457.0
34,q x bin(q),2.0,<- bin(q),bin,1.0,2.0,9.0,6.0,-1.0,3.0,2.0,-1.0,3.0,2.0,24.0,575.0,40.0,515.0
35,q x bin(q),2.0,<- agg(q),agg,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,65.0,35.0,65.0
36,q x agg(q),2.0,bar <> point,mark,0.0,4.0,7.0,5.0,-4.0,2.0,-2.0,-4.0,2.0,-2.0,24.0,187.0,46.0,127.0
37,q x agg(q),2.0,bar <> bar,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,0.0
38,q x agg(q),2.0,bar <> line,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,60.0,4.0
39,q x agg(q),2.0,bar <> area,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,60.0,3.0
40,q x agg(q),2.0,bar <> tick,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,65.0,2.0
41,q x agg(q),,bar <> rect,,,,,,,,,,,,,,,
42,q x agg(q),2.0,+ raw(q),add_field,2.0,,,0.0,,,,-39.0,41.0,2.0,31.0,1816.0,61.0,455.0
